"","X","Y","Count"
"1",-0.05,51.05,3
"2",-0.05,51.55,1
"3",-0.05,51.75,6
"4",-0.05,51.85,1
"5",-0.05,52.25,18
"6",-0.05,52.35,1
"7",-0.05,52.55,2
"8",-0.05,52.65,1
"9",-0.05,52.95,1
"10",-0.05,53.05,8
"11",-0.05,53.15,2
"12",-0.05,53.55,1
"13",-0.05,53.65,1
"14",-0.05,54.15,46
"15",-0.15,51.15,3
"16",-0.15,51.35,323
"17",-0.15,51.45,1
"18",-0.15,51.95,3
"19",-0.15,52.95,1
"20",-0.15,53.15,1
"21",-0.15,53.25,11
"22",-0.15,53.65,3
"23",-0.15,53.75,1
"24",-0.15,53.85,1
"25",-0.15,53.95,7
"26",-0.15,54.05,1
"27",-0.15,54.15,523
"28",-0.25,50.85,1
"29",-0.25,51.35,1
"30",-0.25,51.45,1
"31",-0.25,51.65,1
"32",-0.25,51.75,162
"33",-0.25,52.25,1
"34",-0.25,52.55,1
"35",-0.25,52.75,1
"36",-0.25,52.95,5
"37",-0.25,53.15,1
"38",-0.25,53.25,4
"39",-0.25,53.65,2
"40",-0.25,53.75,2
"41",-0.25,54.15,38
"42",-0.25,54.25,315
"43",-0.35,51.05,1
"44",-0.35,51.35,1
"45",-0.35,51.75,1
"46",-0.35,52.05,1
"47",-0.35,52.55,4
"48",-0.35,52.65,1
"49",-0.35,52.75,9
"50",-0.35,52.85,2
"51",-0.35,53.05,2
"52",-0.35,53.85,5
"53",-0.35,53.95,12
"54",-0.35,54.05,1
"55",-0.35,54.15,2
"56",-0.35,54.25,257
"57",-0.45,50.95,2
"58",-0.45,51.45,1
"59",-0.45,51.55,1
"60",-0.45,51.65,4
"61",-0.45,52.05,1
"62",-0.45,52.55,1
"63",-0.45,52.65,1
"64",-0.45,52.95,1
"65",-0.45,53.05,3
"66",-0.45,53.15,2
"67",-0.45,53.25,2
"68",-0.45,53.65,7
"69",-0.45,53.75,2
"70",-0.45,53.85,1
"71",-0.45,53.95,1
"72",-0.45,54.25,2
"73",-0.45,54.35,12
"74",-0.55,50.85,3
"75",-0.55,50.95,1
"76",-0.55,51.35,1
"77",-0.55,52.05,2
"78",-0.55,52.25,3
"79",-0.55,52.35,1
"80",-0.55,53.05,10
"81",-0.55,53.25,1
"82",-0.55,53.65,3
"83",-0.55,53.75,19
"84",-0.55,54.05,1
"85",-0.55,54.25,4
"86",-0.55,54.35,6
"87",-0.55,54.45,3
"88",-0.65,51.35,1
"89",-0.65,51.85,3
"90",-0.65,51.95,1
"91",-0.65,52.55,2
"92",-0.65,52.65,341
"93",-0.65,52.95,13
"94",-0.65,53.05,8
"95",-0.65,53.15,7
"96",-0.65,53.25,1
"97",-0.65,53.45,1
"98",-0.65,53.55,16
"99",-0.65,53.65,3
"100",-0.65,53.75,41
"101",-0.65,53.85,2
"102",-0.65,54.35,2
"103",-0.65,54.45,3
"104",-0.75,50.75,1
"105",-0.75,51.95,1
"106",-0.75,52.15,3
"107",-0.75,52.25,12
"108",-0.75,52.55,26
"109",-0.75,52.65,33
"110",-0.75,52.75,2
"111",-0.75,52.85,4
"112",-0.75,52.95,12
"113",-0.75,53.05,1
"114",-0.75,53.15,2
"115",-0.75,53.25,1
"116",-0.75,53.35,22
"117",-0.75,53.45,2
"118",-0.75,53.55,13
"119",-0.75,53.65,258
"120",-0.75,53.75,7
"121",-0.75,53.85,1
"122",-0.75,54.05,6
"123",-0.75,54.15,1
"124",-0.75,54.25,6
"125",-0.75,54.35,1
"126",-0.75,54.55,4
"127",-0.75,60.45,4
"128",-0.85,51.45,1
"129",-0.85,51.65,1
"130",-0.85,51.95,1
"131",-0.85,52.25,1
"132",-0.85,52.35,58
"133",-0.85,52.65,1
"134",-0.85,52.75,3
"135",-0.85,52.95,2
"136",-0.85,53.35,1
"137",-0.85,53.65,1
"138",-0.85,53.75,46
"139",-0.85,53.85,90
"140",-0.85,54.05,1
"141",-0.85,54.25,5
"142",-0.85,54.35,8
"143",-0.85,54.55,13
"144",-0.85,60.75,1
"145",-0.85,60.85,7
"146",-0.95,50.85,1
"147",-0.95,51.05,1
"148",-0.95,51.65,1
"149",-0.95,51.85,1
"150",-0.95,51.95,3
"151",-0.95,52.95,1
"152",-0.95,53.05,4
"153",-0.95,53.15,5
"154",-0.95,53.35,11
"155",-0.95,53.45,17
"156",-0.95,53.55,34
"157",-0.95,53.65,7
