"","X","Y","Count"
"1",-0.05,51.75,2
"2",-0.05,53.65,1
"3",-0.15,51.35,1
"4",-0.15,53.65,1
"5",-0.15,54.15,30
"6",-0.25,51.75,15
"7",-0.25,54.25,2
"8",-0.35,52.85,1
"9",-0.35,53.05,2
"10",-0.35,54.25,1
"11",-0.45,51.45,1
"12",-0.45,51.65,1
"13",-0.45,54.35,3
"14",-0.55,53.75,9
"15",-0.55,54.25,1
"16",-0.55,54.45,2
"17",-0.65,52.65,9
"18",-0.65,52.95,1
"19",-0.65,53.75,7
"20",-0.65,54.35,1
"21",-0.75,52.25,2
"22",-0.75,52.55,6
"23",-0.75,52.65,1
"24",-0.75,52.85,2
"25",-0.75,52.95,1
"26",-0.75,53.65,21
"27",-0.75,53.75,1
"28",-0.75,54.05,1
"29",-0.75,54.25,1
"30",-0.85,52.35,24
"31",-0.85,53.75,37
"32",-0.85,54.35,1
"33",-0.85,54.55,3
"34",-0.95,53.45,1
"35",-0.95,53.65,2
"36",-0.95,53.85,3
"37",-0.95,53.95,1
"38",-0.95,54.35,2
"39",-1.05,53.65,8
"40",-1.05,53.95,1
"41",-1.15,53.55,1
"42",-1.15,53.95,2
"43",-1.15,54.35,1
"44",-1.15,54.65,1
"45",-1.25,52.95,4
"46",-1.25,54.05,38
"47",-1.25,54.65,22
"48",-1.35,53.55,8
"49",-1.35,53.75,16
"50",-1.35,54.65,1
"51",-1.35,54.95,1
"52",-1.45,53.65,2
"53",-1.45,54.05,22
"54",-1.45,54.85,15
"55",-1.45,55.05,19
"56",-1.55,53.35,1
"57",-1.55,53.55,1
"58",-1.55,54.15,8
"59",-1.55,54.25,1
"60",-1.55,54.55,1
"61",-1.55,54.85,9
"62",-1.55,54.95,2
"63",-1.55,55.15,1
"64",-1.55,55.25,42
"65",-1.55,55.35,7
"66",-1.65,50.85,1
"67",-1.65,52.55,1
"68",-1.65,53.05,11
"69",-1.65,54.45,3
"70",-1.65,54.85,6
"71",-1.65,54.95,2
"72",-1.65,55.05,3
"73",-1.65,55.45,1
"74",-1.65,55.55,4
"75",-1.65,59.55,1
"76",-1.75,52.55,1
"77",-1.75,53.55,1
"78",-1.75,53.65,1
"79",-1.75,53.75,1
"80",-1.75,53.95,1
"81",-1.75,54.65,1
"82",-1.75,54.75,10
"83",-1.75,55.25,1
"84",-1.75,55.55,1
"85",-1.85,51.45,1
"86",-1.85,53.95,1
"87",-1.85,55.05,1
"88",-1.95,53.05,1
"89",-1.95,53.15,3
"90",-1.95,55.25,1
"91",-1.95,57.35,2
"92",-1.95,57.65,4
"93",-2.05,53.45,1
"94",-2.05,57.15,1
"95",-2.15,53.35,1
"96",-2.15,55.05,1
"97",-2.15,55.85,1
"98",-2.15,55.95,2
"99",-2.15,57.55,1
"100",-2.25,52.65,7
"101",-2.25,53.15,1
"102",-2.25,53.25,3
"103",-2.25,54.05,6
"104",-2.35,52.45,1
"105",-2.35,53.55,1
"106",-2.45,53.15,1
"107",-2.45,53.25,1
"108",-2.45,53.45,4
"109",-2.45,55.95,3
"110",-2.45,56.65,2
"111",-2.45,56.75,1
"112",-2.45,57.35,1
"113",-2.55,53.25,3
"114",-2.55,53.45,1
"115",-2.55,54.15,1
"116",-2.55,56.05,1
"117",-2.65,53.75,1
"118",-2.65,55.55,1
"119",-2.65,56.25,2
"120",-2.65,56.55,1
"121",-2.75,52.95,1
"122",-2.75,53.05,2
